canonical_lesson_id,referenced_legacy_lesson_id,role,title,legacy_screenpal_short_code,approved_screenpal_url,status,notes
Y4E1,Y4E1,prelesson,PRI260225Y4E1 (PreLesson Sheets in Lesson: Y4E1 Transitioning from Year 3 to Year 4 11+),cOnDlXn03Iv,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
,Y4E11,prelesson,FAR0325Y4E13 (PreLesson Sheets in Lesson: Y4E11 Adjectives game 11+),cOefl8nZI9Z,,UNMAPPED_OR_EXCLUDED_LESSON,Bare short code retained as provenance only.
Y4E12,Y4E12,prelesson,FAR110325Y4E12 (PreLesson Sheets in Lesson: Y4E12 Descriptive writing 11+),cOeh6KnZDtV,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y4E12,Y4E12,homework,PRI260225Y4E12 (Homework Sheets in Lesson: Y4E12 Descriptive writing 11+),cOe6XrnZwIN,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y5E28,Y5E28,prelesson,FAR280125Y5E28 (PreLesson Sheets in Lesson: Y5E28 Creative Writing Character Description 11+),cOnDXMn03QT,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y5E28,Y5E28,homework,DIP130225Y5E28 VR16 (Homework Sheets in Lesson: Y5E28 Creative Writing Character Description 11+),cOe6XCnZwFR,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y5E29,Y5E29,prelesson,FAR290125Y5E29 (PreLesson Sheets in Lesson: Y5E29 Creative Writing Beginning and Buildup 11+),cOnDXMn03QO,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y5E29,Y5E29,homework,DIP140225Y5E29 VR17 (Homework Sheets in Lesson: Y5E29 Creative Writing Beginning and Buildup 11+),cOe6lhnZw0H,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y5E30,Y5E30,prelesson,FAR290125Y5E30 (PreLesson Sheets in Lesson: Y5E30 Creative Writing Planning the Dilemma 11+),cOnDXMn03Qt,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y5E30,Y5E30,homework,DIP150225Y5E30 VR18 (Homework Sheets in Lesson: Y5E30 Creative Writing Planning the Dilemma 11+),cOe6l6nZwTH,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
Y5E21,Y5E21,prelesson,FAR160125Y5E21 (PreLesson Sheets in Lesson: Y5E21 Spellings Part 1 11+),cOeoIMnZHQW,,EXPLICIT_URL_REQUIRED,Bare short code retained as provenance only.
