group	lessonId	order	title	chars	words	hasVideo	active
english-Y2	Y2E1	1	Comprehension, Simple Present Simple Past	2168	333	true	true
english-Y2	Y2E2	2	Tenses and Contractions	0	0	false	true
english-Y2	Y2E3	3	Tenses, Adjectives, Grammar and Punctuation, Spelling	0	0	false	true
english-Y2	Y2E4	4	Conjunctions	0	0	false	true
english-Y2	Y2E5	5	Special Recap and Catchup Session for Conjunctions and Punctuations	0	0	false	true
english-Y2	Y2E6	6	Expanded Nouns	0	0	false	true
english-Y2	Y2E7	7	Compound Nouns and Commas in Lists	0	0	false	true
english-Y2	Y2E8	8	Suffixes	0	0	false	true
english-Y2	Y2E10	9	Comprehension & Progressive Tenses	0	0	false	true
english-Y2	Y2E11	10	Comprehension & Tenses Game	0	0	false	true
english-Y2	Y2E12	11	Tenses again	0	0	false	true
english-Y2	Y2E13	12	Spelling, Comprehension & Punctuation	0	0	false	true
english-Y2	Y2E15	13	Comprehension, Guided Reading, Writing, Inferencing	0	0	false	true
english-Y2	Y2E16	14	Revision Activity	0	0	false	true
english-Y2	Y2E17	15	Revision Activity	0	0	false	true
english-Y2	Y2E18	16	Alliteration and Onomatopoeia	0	0	false	true
english-Y2	Y2E19	17	Apostrophes and Contractions	0	0	false	true
english-Y2	Y2E21	18	Sentence Structure	0	0	false	true
english-Y2	Y2E22	19	Adjectives with -er and -est	0	0	false	true
english-Y2	Y2E23	20	Homophones	0	0	false	true
english-Y2	Y2E24	21	Forming Adjectives -ful -less -ment	0	0	false	true
english-Y2	Y2E25	22	Questions and Commands	0	0	false	true
english-Y2	Y2E26	23	Spellings	0	0	false	true
english-Y2	Y2E27	24	Subordination	0	0	false	true
english-Y2	Y2E28	25	Questions, Commands, Statements and Exclamations	0	0	false	true
english-Y2	Y2E29	26	Verbs	0	0	false	true
english-Y2	Y2E31	27	GAP Test 1	0	0	false	true
english-Y2	Y2E32	28	GAP Test 2	0	0	false	true
english-Y2	Y2E33	29	Revision 1	0	0	false	true
english-Y3	Y3E1	1	Comprehension with Transitioning Exercises	2122	302	true	true
english-Y3	Y3E3	2	Similes and Metaphors	1903	280	true	true
english-Y3	Y3E4	3	Present Perfect Tense	2234	359	true	true
english-Y3	Y3E5	4	Articles A, AN & THE	2627	419	true	true
english-Y3	Y3E6	5	Word families	2426	366	true	true
english-Y3	Y3E7	6	Adverbs	0	0	false	true
english-Y3	Y3E8	7	Prepositions	0	0	false	true
english-Y3	Y3E9	8	Homophones	0	0	false	true
english-Y3	Y3E10	9	Subordinate Clauses	0	0	false	true
english-Y3	Y3E11	10	Conjunctions to Create Subordinate Clauses	0	0	false	true
english-Y3	Y3E12	11	Consonants and Vowels, Suffixes -ly	0	0	false	true
english-Y3	Y3E13	12	Present and Past Perfect	0	0	false	true
english-Y3	Y3E15	13	Powerful Adjectives	0	0	false	true
english-Y3	Y3E16	14	Prefixes	0	0	false	true
english-Y3	Y3E17	15	Apostrophes	0	0	false	true
english-Y3	Y3E18	16	Pronouns, Nouns and Expanded Noun Phrases	0	0	false	true
english-Y3	Y3E19	17	Compound Words	0	0	false	true
english-Y3	Y3E20	18	Prefixes Mis, Dis and Un	0	0	false	true
english-Y3	Y3E21	19	Subordinating and Coordinating Conjunctions	0	0	false	true
