lessonId	order	title	chars	words	hasVideo	active
Y5E2	1	Descriptive Writing Settings and Atmosphere	3696	540	true	true
Y5E3	2	Figures of Speech and comprehension	4186	613	true	true
Y5E4	3	Non Chronological Report Writing	3021	427	true	true
Y5E5	4	Punctuation Quiz, Verbal Reasoning and Comprehension	2059	285	true	true
Y5E6	5	Instructional reports	2300	336	true	true
Y5E7	6	Verbal Reasoning	3138	454	true	true
Y5E10	7	Compare and Contrast Text	3324	480	true	true
Y5E11	8	Advertising	3678	496	true	true
Y5E12	9	Diary Writing	3709	563	true	true
Y5E13	10	Persuasive Writing	3317	470	true	true
Y5E14	11	Verbal Reasoning	0	0	false	true
Y5E15	12	Riddles and Puzzles	0	0	false	true
Y5E16	13	Myths and Legends	0	0	false	true
Y5E17	14	Parentheses	0	0	false	true
Y5E18	15	Relative Clauses	0	0	false	true
Y5E19	16	Conjunctions	0	0	false	true
Y5E20	17	Modal Verbs	0	0	false	true
Y5E21	18	Spellings Part 1	0	0	false	true
Y5E22	19	Spellings Part 2	0	0	false	true
Y5E23	20	Spellings Part 3	0	0	false	true
Y5E24	21	Spellings Part 4	0	0	false	true
Y5E25	22	Revision Pack 1 and 2	0	0	false	true
Y5E26	23	Learning and Performing a Poem	0	0	false	true
Y5E27	24	Narrative Writing	0	0	false	true
Y5E28	25	Creative Writing Character Description	0	0	false	true
Y5E29	26	Creative Writing Beginning and Buildup	0	0	false	true
Y5E30	27	Creative Writing Planning the Dilemma	0	0	false	true
Y5E31	28	Creative Writing Writing the Dilemma	0	0	false	true
Y5E32	29	Creative Writing Closing and Editing	0	0	false	true
Y5E34	30	Reading Assessment	0	0	false	true
Y5E37	31	Degrees of Possibility using Adverbs	0	0	false	true
Y5E39	32	Reading Comprehension	0	0	false	true
Y5E33	33	Upleveling Sentences	0	0	false	true
Y5E35	34	Suspense and Thrillers	0	0	false	true
Y5E36	35	Character Descriptions and Recounting	0	0	false	true
Y5E38	36	Experimenting with Similes and Metaphors	0	0	false	true
